Name,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS24X12X3/4,171.16,47.1,24.0,21.9,12.0,9.91,0.750,0.698,14.2,31.4,3440,359,287,8.55,1170,221,195,4.98,2850,366
HSS24X12X5/8,144.39,39.6,24.0,22.3,12.0,10.3,0.625,0.581,17.7,38.4,2940,304,245,8.62,1000,188,167,5.03,2430,310
HSS24X12X1/2,116.91,32.1,24.0,22.6,12.0,10.6,0.500,0.465,22.8,48.6,2420,248,202,8.68,829,154,138,5.08,1980,252
HSS22X22X7/8,244.88,67.3,22.0,19.6,22.0,19.6,0.875,0.814,24.1,24.1,4970,530,452,8.59,4970,530,452,8.59,7890,729
HSS22X22X3/4,212.00,58.2,22.0,19.9,22.0,19.9,0.750,0.698,28.5,28.5,4350,462,395,8.65,4350,462,395,8.65,6860,632
HSS20X20X7/8,221.06,60.8,20.0,17.6,20.0,17.6,0.875,0.814,21.6,21.6,3670,433,367,7.77,3670,433,367,7.77,5870,597
HSS20X20X3/4,191.58,52.6,20.0,17.9,20.0,17.9,0.750,0.698,25.6,25.6,3230,378,323,7.84,3230,378,323,7.84,5110,519
HSS20X20X5/8,161.40,44.3,20.0,18.3,20.0,18.3,0.625,0.581,31.5,31.5,2750,320,275,7.88,2750,320,275,7.88,4320,437
HSS20X20X1/2,130.52,35.8,20.0,18.6,20.0,18.6,0.500,0.465,40.0,40.0,2260,261,226,7.95,2260,261,226,7.95,3510,355
HSS20X12X3/4,150.75,41.5,20.0,17.9,12.0,9.91,0.750,0.698,14.2,25.6,2190,270,219,7.26,988,190,165,4.88,2220,303
HSS20X12X5/8,127.37,35.0,20.0,18.3,12.0,10.3,0.625,0.581,17.7,31.4,1880,230,188,7.33,851,162,142,4.93,1890,257
HSS20X12X1/2,103.30,28.3,20.0,18.6,12.0,10.6,0.500,0.465,22.8,40.0,1550,188,155,7.39,705,132,117,4.99,1540,209
HSS20X12X3/8,78.52,21.5,20.0,19.0,12.0,11.0,0.375,0.349,31.4,54.3,1200,144,120,7.45,547,102,91.1,5.04,1180,160
HSS20X12X5/16,65.87,18.1,20.0,19.1,12.0,11.1,0.3125,0.291,38.2,65.7,1010,122,101,7.48,464,85.8,77.3,5.07,997,134
HSS20X8X5/8,110.36,30.3,20.0,18.3,8.00,6.26,0.625,0.581,10.8,31.4,1440,185,144,6.89,338,96.4,84.6,3.34,916,167
HSS20X8X1/2,89.68,24.6,20.0,18.6,8.00,6.60,0.500,0.465,14.2,40.0,1190,152,119,6.96,283,79.5,70.8,3.39,757,137
HSS20X8X3/8,68.31,18.7,20.0,19.0,8.00,6.95,0.375,0.349,19.9,54.3,926,117,92.6,7.03,222,61.5,55.6,3.44,586,105
HSS20X8X5/16,57.36,15.7,20.0,19.1,8.00,7.13,0.3125,0.291,24.5,65.7,786,98.6,78.6,7.07,189,52.0,47.4,3.47,496,88.3
HSS20X4X1/2,76.07,20.9,20.0,18.6,4.00,2.60,0.500,0.465,5.60,40.0,838,115,83.8,6.33,58.7,34.0,29.3,1.68,195,63.8
HSS20X4X3/8,58.10,16.0,20.0,19.0,4.00,2.95,0.375,0.349,8.46,54.3,657,89.3,65.7,6.42,47.6,26.8,23.8,1.73,156,49.9
HSS20X4X5/16,48.86,13.4,20.0,19.1,4.00,3.13,0.3125,0.291,10.7,65.7,560,75.6,56.0,6.46,41.2,22.9,20.6,1.75,134,42.4
HSS20X4X1/4,39.43,10.8,20.0,19.3,4.00,3.30,0.250,0.233,14.2,82.8,458,61.5,45.8,6.50,34.3,18.7,17.1,1.78,111,34.7
HSS18X18X7/8,197.24,54.3,18.0,15.6,18.0,15.6,0.875,0.814,19.2,19.2,2630,346,292,6.96,2630,346,292,6.96,4220,479
