Name,W,A,d,b,t,kdes,kdet,x,y,xp,yp,b/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L12X12X1-3/8,105,31.1,12.0,12.0,1.38,2.09,2  1/16,3.50,3.50,1.30,1.30,8.70,413,88.1,48.6,3.64,413,88.1,48.6,3.64,165,2.30,33.3,19.9,211,6.51,0.627,1.00,661,8.00,0,8.00,4.02,4.95,4.02,82.6,Ð,82.6,41.0,33.3,41.0,36.0,36.0,48.0
L12X12X1-1/4,96.4,28.4,12.0,12.0,1.25,1.96,1 15/16,3.45,3.45,1.18,1.18,9.60,381,80.7,44.6,3.66,381,80.7,44.6,3.66,152,2.31,31.1,14.9,160,6.54,0.627,1.00,610,8.04,0,8.04,4.05,4.88,4.05,75.9,Ð,75.9,37.5,31.1,37.5,36.0,36.0,48.0
L12X12X1-1/8,87.2,25.8,12.0,12.0,1.13,1.84,1 13/16,3.41,3.41,1.08,1.08,10.6,350,73.7,40.7,3.68,350,73.7,40.7,3.68,140,2.33,29.0,11.1,120,6.58,0.626,1.00,560,8.09,0,8.09,4.06,4.82,4.06,69.2,Ð,69.2,34.5,29.0,34.5,36.0,36.0,48.0
L12X12X1,77.8,23.0,12.0,12.0,1.00,1.71,1 11/16,3.36,3.36,0.958,0.958,12.0,315,65.9,36.5,3.70,315,65.9,36.5,3.70,126,2.34,26.5,7.80,84.5,6.61,0.626,1.00,504,8.13,0,8.13,4.09,4.75,4.09,62.0,Ð,62.0,30.8,26.5,30.8,36.0,36.0,48.0
L10X10X1-3/8,87.1,25.6,10.0,10.0,1.38,2.18,2  3/16,3.00,3.00,1.28,1.28,7.25,231,59.9,33.0,3.00,231,59.8,33.0,3.00,93.3,1.91,22.0,16.4,118,5.36,0.629,1.00,369,6.58,0,6.58,3.32,4.24,3.32,56.1,Ð,56.1,28.1,22.0,28.1,30.0,30.0,40.0
L10X10X1-1/4,79.9,23.4,10.0,10.0,1.25,2.05,2  1/16,2.95,2.95,1.17,1.17,8.00,213,54.9,30.2,3.02,213,54.9,30.2,3.02,85.4,1.91,20.5,12.3,89.4,5.39,0.628,1.00,341,6.63,0,6.63,3.34,4.17,3.34,51.4,Ð,51.4,25.6,20.5,25.6,30.0,30.0,40.0
L10X10X1-1/8,72.3,21.3,10.0,10.0,1.13,1.93,1 15/16,2.90,2.90,1.07,1.07,8.85,196,50.2,27.6,3.03,196,50.2,27.6,3.03,78.2,1.92,19.1,9.21,67.3,5.41,0.627,1.00,314,6.67,0,6.67,3.37,4.10,3.37,47.1,Ð,47.1,23.2,19.1,23.2,30.0,30.0,40.0
L10X10X1,64.7,19.0,10.0,10.0,1.00,1.80,1 13/16,2.86,2.86,0.950,0.950,10.0,177,45.0,24.8,3.05,177,45.0,24.8,3.05,70.4,1.92,17.4,6.46,47.6,5.46,0.626,1.00,284,6.72,0,6.72,3.38,4.04,3.38,42.3,Ð,42.3,20.8,17.4,20.8,30.0,30.0,40.0
L10X10X7/8,56.9,16.8,10.0,10.0,0.875,1.68,1 11/16,2.80,2.80,0.840,0.840,11.4,158,39.9,21.9,3.07,158,39.9,21.9,3.07,62.8,1.93,15.9,4.39,32.5,5.47,0.627,1.00,253,6.76,0,6.76,3.42,3.96,3.42,37.4,Ð,37.4,18.4,15.9,18.4,30.0,30.0,40.0
L10X10X3/4,49.1,14.5,10.0,10.0,0.750,1.55,1  9/16,2.76,2.76,0.725,0.725,13.3,139,34.6,19.2,3.10,139,34.6,19.2,3.10,55.7,1.96,14.3,2.80,20.9,5.53,0.628,1.00,222,6.81,0,6.81,3.43,3.90,3.43,32.6,Ð,32.6,16.2,14.3,16.2,30.0,30.0,40.0
