Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,x,eo,xp,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD,T,WGi
MC18X58,58.0,17.1,18.0,18      ,4.20,4  1/4 ,0.700, 11/16,  3/8 ,0.625,  5/8 ,1.44,1  7/16,–,0.862,0.695,0.474,6.72,22.1,675,95.4,75.0,6.29,17.6,10.7,5.28,1.02,2.81,1070,24.4,21.4,18.4,9.28,19.0,47.4,6.56,0.944,1.35,17.4,47.0,51.2,40.2,44.4,15  1/8 ,2  1/2 
MC18X51.9,51.9,15.3,18.0,18      ,4.10,4  1/8 ,0.600,  5/8 ,  5/16,0.625,  5/8 ,1.44,1  7/16,–,0.858,0.797,0.424,6.56,25.8,627,87.3,69.6,6.41,16.3,9.86,5.02,1.03,2.03,985,23.5,19.9,16.6,8.31,19.0,43.3,6.70,0.939,1.35,17.4,46.7,50.8,40.1,44.2,15  1/8 ,2  1/2 
MC18X45.8,45.8,13.5,18.0,18      ,4.00,4      ,0.500,  1/2 ,  1/4 ,0.625,  5/8 ,1.44,1  7/16,–,0.866,0.909,0.374,6.40,31.0,578,79.2,64.2,6.55,14.9,9.14,4.77,1.05,1.45,897,22.5,18.3,14.6,7.33,19.0,39.3,6.87,0.933,1.34,17.4,46.5,50.5,40.0,44.0,15  1/8 ,2  1/2 
MC18X42.7,42.7,12.6,18.0,18      ,3.95,4      ,0.450,  7/16,  1/4 ,0.625,  5/8 ,1.44,1  7/16,–,0.877,0.969,0.349,6.32,34.4,554,75.1,61.5,6.64,14.3,8.82,4.64,1.07,1.23,852,22.0,17.4,13.5,6.83,19.0,37.2,6.97,0.930,1.34,17.4,46.3,50.3,40.0,43.9,15  1/8 ,2  1/2 
MC13X50,50.0,14.7,13.0,13      ,4.41,4  3/8 ,0.787, 13/16,  7/16,0.610,  5/8 ,1.44,1  7/16,–,0.974,0.815,0.566,7.23,13.7,314,60.8,48.3,4.62,16.4,10.2,4.77,1.06,2.96,558,17.4,14.9,12.1,6.18,13.7,30.3,5.07,0.875,1.41,12.4,37.6,42.0,30.4,34.8,10  1/8 ,2  1/2 
MC13X40,40.0,11.7,13.0,13      ,4.19,4  1/8 ,0.560,  9/16,  5/16,0.610,  5/8 ,1.44,1  7/16,–,0.963,1.03,0.452,6.87,19.3,273,51.2,41.9,4.82,13.7,8.66,4.24,1.08,1.55,462,16.1,12.8,9.54,4.56,13.7,25.5,5.32,0.859,1.38,12.4,37.0,41.1,30.2,34.4,10  1/8 ,2  1/2 
MC13X35,35.0,10.3,13.0,13      ,4.07,4  1/8 ,0.447,  7/16,  1/4 ,0.610,  5/8 ,1.44,1  7/16,–,0.980,1.16,0.396,6.67,24.2,252,46.5,38.8,4.95,12.3,8.04,3.97,1.09,1.13,412,15.3,11.5,7.85,4.04,13.7,23.1,5.50,0.849,1.35,12.4,36.7,40.7,30.1,34.1,10  1/8 ,2  1/2 
MC13X31.8,31.8,9.35,13.0,13      ,4.00,4      ,0.375,  3/8 ,  3/16,0.610,  5/8 ,1.44,1  7/16,–,1.00,1.24,0.360,6.56,28.9,239,43.4,36.7,5.05,11.4,7.69,3.79,1.10,0.937,380,14.8,10.8,6.90,3.39,13.7,21.6,5.64,0.842,1.34,12.4,36.5,40.5,30.0,34.0,10  1/8 ,2  1/2 
MC12X50,50.0,14.7,12.0,12      ,4.14,4  1/8 ,0.835, 13/16,  7/16,0.700, 11/16,1.31,1  5/16,–,1.05,0.741,0.613,5.91,11.5,269,56.5,44.9,4.28,17.4,10.9,5.64,1.09,3.23,411,14.5,13.0,10.3,5.14,13.1,28.1,4.77,0.859,1.37,11.3,35.0,39.1,28.1,32.3,9  3/8 ,2  1/2 
MC12X45,45.0,13.2,12.0,12      ,4.01,4      ,0.710, 11/16,  3/8 ,0.700, 11/16,1.31,1  5/16,–,1.04,0.844,0.550,5.73,13.5,251,52.0,41.9,4.36,15.8,10.1,5.30,1.09,2.33,373,13.9,11.9,9.09,4.50,13.1,25.8,4.88,0.851,1.35,11.3,34.6,38.6,28.0,32.0,9  3/8 ,2  1/2 
