Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,WGi
ST12X60.5,60.5,17.8,12.3,12  1/4 ,8.05,8      ,0.800, 13/16,  7/16,1.09,1  1/16,2.00,2      ,3.63,1.26,3.69,15.4,259,54.5,30.1,3.82,41.5,18.1,10.3,1.53,6.38,27.5,5.14,0.640,4      
ST12X53,53.0,15.6,12.3,12  1/4 ,7.87,7  7/8 ,0.620,  5/8 ,  5/16,1.09,1  1/16,2.00,2      ,3.28,1.02,3.61,19.8,216,43.3,24.1,3.72,38.4,16.7,9.76,1.57,5.05,15.0,4.88,0.686,4      
ST12X50,50.0,14.7,12.0,12      ,7.25,7  1/4 ,0.745,  3/4 ,  3/8 ,0.870,  7/8 ,1.75,1  3/4 ,3.84,2.16,4.17,16.1,215,47.5,26.3,3.83,23.7,12.0,6.55,1.27,3.76,19.5,5.28,0.584,4      
ST12X45,45.0,13.2,12.0,12      ,7.13,7  1/8 ,0.625,  5/8 ,  5/16,0.870,  7/8 ,1.75,1  3/4 ,3.60,1.42,4.10,19.2,190,41.1,22.6,3.79,22.3,11.2,6.27,1.30,3.01,12.1,5.11,0.615,4      
ST12X40,40.0,11.7,12.0,12      ,7.00,7      ,0.500,  1/2 ,  1/4 ,0.870,  7/8 ,1.75,1  3/4 ,3.30,0.909,4.02,24.0,162,33.6,18.6,3.72,21.0,10.4,6.00,1.34,2.44,6.94,4.88,0.656,4      
ST10X48,48.0,14.1,10.2,10  1/8 ,7.20,7  1/4 ,0.800, 13/16,  7/16,0.920, 15/16,1.75,1  3/4 ,3.13,1.35,3.91,12.7,143,36.9,20.3,3.18,25.0,12.5,6.93,1.33,4.16,15.0,4.36,0.625,4      
ST10X43,43.0,12.7,10.2,10  1/8 ,7.06,7      ,0.660, 11/16,  3/8 ,0.920, 15/16,1.75,1  3/4 ,2.91,0.972,3.84,15.4,124,31.1,17.2,3.13,23.3,11.6,6.59,1.36,3.30,9.17,4.21,0.659,4      
ST10X37.5,37.5,11.0,10.0,10      ,6.39,6  3/8 ,0.635,  5/8 ,  5/16,0.795, 13/16,1.63,1  5/8 ,3.07,1.34,4.02,15.7,109,28.6,15.8,3.15,14.8,8.36,4.62,1.16,2.28,7.21,4.29,0.613,3  1/2 
ST10X33,33.0,9.70,10.0,10      ,6.26,6  1/4 ,0.505,  1/2 ,  1/4 ,0.795, 13/16,1.63,1  5/8 ,2.81,0.841,3.94,19.8,92.9,23.4,12.9,3.10,13.7,7.70,4.39,1.19,1.78,4.02,4.10,0.654,3  1/2 
ST9X35,35.0,10.3,9.00,9      ,6.25,6  1/4 ,0.711, 11/16,  3/8 ,0.691, 11/16,1.50,1  1/2 ,2.94,1.78,4.52,12.7,84.5,25.1,14.0,2.87,12.0,7.17,3.84,1.08,2.02,7.03,4.02,0.582,3  1/2 
ST9X27.35,27.35,8.02,9.00,9      ,6.00,6      ,0.461,  7/16,  1/4 ,0.691, 11/16,1.50,1  1/2 ,2.51,0.737,4.34,19.5,62.3,17.3,9.60,2.79,10.4,6.06,3.45,1.14,1.16,2.26,3.71,0.660,3  1/2 
ST7.5X25,25.0,7.34,7.50,7  1/2 ,5.64,5  5/8 ,0.550,  9/16,  5/16,0.622,  5/8 ,1.38,1  3/8 ,2.25,0.826,4.53,13.6,40.5,14.0,7.72,2.35,7.79,4.99,2.76,1.03,1.05,2.02,3.22,0.635,3  1/2 
ST7.5X21.45,21.45,6.30,7.50,7  1/2 ,5.50,5  1/2 ,0.411,  7/16,  1/4 ,0.622,  5/8 ,1.38,1  3/8 ,2.01,0.605,4.42,18.2,32.9,10.8,5.99,2.29,7.13,4.54,2.59,1.06,0.765,0.995,3.04,0.689,3  1/2 
ST6X25,25.0,7.33,6.00,6      ,5.48,5  1/2 ,0.687, 11/16,  3/8 ,0.659, 11/16,1.44,1  7/16,1.84,0.758,4.17,8.73,25.1,11.0,6.04,1.85,7.79,5.16,2.84,1.03,1.36,1.97,2.60,0.662,3      
ST6X20.4,20.4,5.96,6.00,6      ,5.25,5  1/4 ,0.462,  7/16,  1/4 ,0.659, 11/16,1.44,1  7/16,1.58,0.577,3.98,13.0,18.9,7.71,4.27,1.78,6.74,4.43,2.57,1.06,0.842,0.787,2.42,0.732,3      
ST6X17.5,17.5,5.12,6.00,6      ,5.08,5  1/8 ,0.428,  7/16,  1/4 ,0.544,  9/16,1.19,1  3/16,1.65,0.543,4.67,14.0,17.2,7.12,3.95,1.83,4.92,3.40,1.94,0.980,0.524,0.556,2.49,0.695,3      
ST6X15.9,15.9,4.65,6.00,6      ,5.00,5      ,0.350,  3/8 ,  3/16,0.544,  9/16,1.19,1  3/16,1.51,0.480,4.60,17.1,14.8,5.94,3.30,1.78,4.66,3.22,1.87,1.00,0.438,0.364,2.39,0.731,3      
ST5X17.5,17.5,5.14,5.00,5      ,4.94,5      ,0.594,  5/8 ,  5/16,0.491,  1/2 ,1.13,1  1/8 ,1.56,0.673,5.03,8.42,12.5,6.58,3.62,1.56,4.15,3.10,1.68,0.899,0.633,0.725,2.23,0.653,2  3/4 
ST5X12.7,12.7,3.72,5.00,5      ,4.66,4  5/8 ,0.311,  5/16,  3/16,0.491,  1/2 ,1.13,1  1/8 ,1.20,0.403,4.75,16.1,7.79,3.70,2.05,1.45,3.36,2.49,1.44,0.950,0.300,0.173,1.98,0.767,2  3/4 
ST4X11.5,11.5,3.38,4.00,4      ,4.17,4  1/8 ,0.441,  7/16,  1/4 ,0.425,  7/16,1.00,1      ,1.15,0.439,4.91,9.07,5.00,3.19,1.76,1.22,2.13,1.84,1.02,0.795,0.271,0.168,1.73,0.704,2  1/4 
ST4X9.2,9.20,2.70,4.00,4      ,4.00,4      ,0.271,  1/4 ,  1/8 ,0.425,  7/16,1.00,1      ,0.942,0.336,4.71,14.8,3.49,2.07,1.14,1.14,1.84,1.59,0.922,0.827,0.167,0.0642,1.58,0.788,2  1/4 
ST3X8.6,8.60,2.53,3.00,3      ,3.57,3  5/8 ,0.465,  7/16,  1/4 ,0.359,  3/8 ,0.813, 13/16,0.915,0.394,4.97,6.45,2.12,1.85,1.02,0.915,1.14,1.17,0.642,0.673,0.181,0.0772,1.35,0.705,–
ST3X6.25,6.25,1.83,3.00,3      ,3.33,3  3/8 ,0.232,  1/4 ,  1/8 ,0.359,  3/8 ,0.813, 13/16,0.692,0.271,4.64,12.9,1.26,1.01,0.547,0.831,0.901,0.930,0.541,0.702,0.0830,0.0197,1.20,0.819,–
ST2.5X5,5.00,1.46,2.50,2  1/2 ,3.00,3      ,0.214,  3/16,  1/8 ,0.326,  5/16,0.750,  3/4 ,0.570,0.239,4.60,11.7,0.671,0.650,0.348,0.677,0.597,0.686,0.398,0.638,0.0568,0.0100,1.02,0.839,–
ST2X4.75,4.75,1.40,2.00,2      ,2.80,2  3/4 ,0.326,  5/16,  3/16,0.293,  5/16,0.750,  3/4 ,0.553,0.250,4.78,6.13,0.462,0.592,0.319,0.575,0.444,0.565,0.317,0.564,0.0590,0.0100,0.903,0.797,–
ST2X3.85,3.85,1.13,2.00,2      ,2.66,2  5/8 ,0.193,  3/16,  1/8 ,0.293,  5/16,0.750,  3/4 ,0.448,0.204,4.54,10.4,0.307,0.381,0.198,0.522,0.374,0.485,0.281,0.576,0.0364,0.00457,0.834,0.869,–
ST1.5X3.75,3.75,1.10,1.50,1  1/2 ,2.51,2  1/2 ,0.349,  3/8 ,  3/16,0.260,  1/4 ,0.625,  5/8 ,0.432,0.219,4.83,4.30,0.200,0.351,0.187,0.426,0.289,0.411,0.230,0.513,0.0432,0.00496,0.732,0.830,–
ST1.5X2.85,2.85,0.830,1.50,1  1/2 ,2.33,2  3/8 ,0.170,  3/16,  1/8 ,0.260,  1/4 ,0.625,  5/8 ,0.329,0.171,4.48,8.82,0.114,0.196,0.0970,0.370,0.223,0.328,0.192,0.518,0.0216,0.00189,0.667,0.911,–
