Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT22X167.5,167.5,49.2,22.0,22      ,15.9,16      ,1.03,1      ,  1/2 ,1.77,1  3/4 ,2.56,3      ,5.53,1.54,4.50,21.4,2170,234,131,6.63,600,118,75.2,3.49,37.2,438,8.82,0.723,58.9,74.8,59.9,75.8,5  1/2 
WT22X145,145,42.6,21.8,21  3/4 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,5.26,1.35,5.02,25.2,1830,196,111,6.54,521,102,65.9,3.49,25.4,275,8.66,0.733,58.4,74.2,59.4,75.2,5  1/2 
WT22X131,131,38.5,21.7,21  5/8 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  5/8 ,5.19,1.22,5.57,27.6,1640,176,99.4,6.53,462,90.9,58.6,3.47,18.6,200,8.64,0.731,58.2,74.0,59.2,75.0,5  1/2 
WT22X115,115,33.9,21.5,21  1/2 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,5.17,1.07,6.45,30.3,1440,157,88.6,6.53,398,78.3,50.5,3.43,12.4,139,8.67,0.723,57.8,73.6,58.8,74.6,5  1/2 
WT20X327.5,327.5,96.4,21.8,21  3/4 ,16.9,16  7/8 ,1.97,2      ,1      ,3.54,3  9/16,4.72,4 13/16,5.85,2.85,2.39,11.1,3730,426,234,6.22,1440,271,170,3.86,293,3190,8.38,0.763,59.5,76.4,60.5,77.4,7  1/2 
WT20X296.5,296.5,87.2,21.5,21  1/2 ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,5.66,2.61,2.58,12.0,3310,379,209,6.16,1260,240,151,3.80,221,2340,8.29,0.762,58.7,75.4,59.7,76.4,7  1/2 
WT20X251.5,251.5,74.0,21.0,21      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,5.38,2.25,2.98,13.6,2730,314,174,6.07,1020,197,124,3.72,138,1400,8.17,0.760,57.4,73.8,58.4,74.8,7  1/2 
WT20X215.5,215.5,63.3,20.6,20  5/8 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,5.18,1.95,3.44,15.4,2290,266,148,6.01,843,164,104,3.65,88.2,881,8.09,0.756,56.4,72.6,57.4,73.6,7  1/2 
WT20X198.5,198.5,58.3,20.5,20  1/2 ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,5.03,1.81,3.66,16.8,2070,240,134,5.96,771,150,95.7,3.63,70.6,677,8.01,0.760,56.1,72.2,57.1,73.2,7  1/2 
WT20X186,186,54.7,20.3,20  3/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,4.98,1.70,3.93,17.5,1930,225,126,5.95,709,138,88.3,3.60,57.7,558,8.00,0.756,55.7,71.8,56.7,72.8,7  1/2 
